PELÍCULA;;;;;;COMENTARIOS;;
Título;Año;Estrellas;Género;Duración;Reseña;ComTexto;Calificación;ComFechaHora
True Detective;2014;0;Drama-Policial;60';"Esta nueva serie de HBO, creada por Nic Pizzolatto, es un drama policial centrado en Martin Hart (Woody Harrelson) y ""Rust"" Cohle (Matthew McConaughey), dos detectives del Departamento de Policía de Louisiana que trabajaron juntos en los a&ntilde;os 90. En 2012, ambos son interrogados sobre su caso más notorio: el macabro homicidio de una prostituta en 1995 por un aparente asesino en serie. Mientras rememoran el caso, recontruyen el pasado y la relación entre ambos durante los últimos 17 a&ntilde;os.";Muchas gracias, vi online los primeros 4, luego la seguí por HBO;4;2014-02-24 14:04:51.000
True Detective;2014;0;Drama-Policial;60';"Esta nueva serie de HBO, creada por Nic Pizzolatto, es un drama policial centrado en Martin Hart (Woody Harrelson) y ""Rust"" Cohle (Matthew McConaughey), dos detectives del Departamento de Policía de Louisiana que trabajaron juntos en los a&ntilde;os 90. En 2012, ambos son interrogados sobre su caso más notorio: el macabro homicidio de una prostituta en 1995 por un aparente asesino en serie. Mientras rememoran el caso, recontruyen el pasado y la relación entre ambos durante los últimos 17 a&ntilde;os.";La mejor serie desde Los Soprano y The Wire;5;2014-02-19 19:26:49.000
Un cuento de invierno;2014;0;Drama-Romance-Fantasía;118';Manhattan, siglo XIX. Peter Lake (Colin Farrell) es un joven neoyorkino que se gana la vida de manera no muy honrada. Intentando robar en una gran mansión que cree vacía conoce a Beverly Penn (Jessica Brown Findlay), una bella joven que pronto despierta la pasión de Lake. Ambos se enamoran, pero Beverly está muy enferma y morirá. Cuando Peter descubre que posee el don de la reencarnación, emprende una misión a través del tiempo para salvarla.;Llega un punto en el que aburre. Es un plato bien presentado, pero sin la sazón adecuada. Muy dulce, dulce de más, melosa, ingenua, obvia, plana. A las chicas (chicas de 12 años) que había en el cine, les encantó y una o dos salieron lagrimeando entre suspiros. Seguro ellas le darán un 5.;2;2014-02-17 15:38:57.000
Un cuento de invierno;2014;0;Drama-Romance-Fantasía;118';Manhattan, siglo XIX. Peter Lake (Colin Farrell) es un joven neoyorkino que se gana la vida de manera no muy honrada. Intentando robar en una gran mansión que cree vacía conoce a Beverly Penn (Jessica Brown Findlay), una bella joven que pronto despierta la pasión de Lake. Ambos se enamoran, pero Beverly está muy enferma y morirá. Cuando Peter descubre que posee el don de la reencarnación, emprende una misión a través del tiempo para salvarla.;En realidad no es una respuesta , es una corrección a lo escrito por mí misma, la niña no rondaría los ciento veinte años pero sí los ciento diez. En el zumbido de la indignación aceleré la cuenta;1;2014-02-17 14:20:14.000
Un cuento de invierno;2014;0;Drama-Romance-Fantasía;118';Manhattan, siglo XIX. Peter Lake (Colin Farrell) es un joven neoyorkino que se gana la vida de manera no muy honrada. Intentando robar en una gran mansión que cree vacía conoce a Beverly Penn (Jessica Brown Findlay), una bella joven que pronto despierta la pasión de Lake. Ambos se enamoran, pero Beverly está muy enferma y morirá. Cuando Peter descubre que posee el don de la reencarnación, emprende una misión a través del tiempo para salvarla.;Ahora entiendo menos. El libro en que se basa la película es una novela publicada en 1983, si se hubiesen guiado por las fechas del libro los absurdos no se hubiesen notado tanto, una pena.;1;2014-02-17 01:00:17.000
Un cuento de invierno;2014;0;Drama-Romance-Fantasía;118';Manhattan, siglo XIX. Peter Lake (Colin Farrell) es un joven neoyorkino que se gana la vida de manera no muy honrada. Intentando robar en una gran mansión que cree vacía conoce a Beverly Penn (Jessica Brown Findlay), una bella joven que pronto despierta la pasión de Lake. Ambos se enamoran, pero Beverly está muy enferma y morirá. Cuando Peter descubre que posee el don de la reencarnación, emprende una misión a través del tiempo para salvarla.;Una pena desperdiciar un buen elenco y obviamente un presupuesto alto en una película que no puede encajar en ninguna denominación.Goldsman obviamente quiso plasmar sus sueños en la pantalla en una historia de amor-fantasía-drama que se traslada a través de cien años. Cien años en los cuales el protagonista se dedica a trazar con tiza el mismo dibujo sobre las calles. Me resulta indignante que tomen a los espectadores por tontos y peor aún que los realizadores sean tan tontos como para que un personaje (la hermana de Beberly) que en 1915 tendría alrededor de unos diez años, llegue a la época actual como una señora de la tercera edad de aparentemente unos ochenta años, cuando si cualquiera saca la cuenta se da cuenta que debería tener unos cientoveinte años aproximadamente. Todo parece un despropósito absurdo. Por suerte ( si nos olvidamos del guión, de los personajes que se diluyen y descrecen y de la evolución dramática que sufre una castración) hay varios aspectos técnicos muy bien logrados: ambientación, fotografía, música. Pero claro eso no compensa ni el tiempo que uno dispone para la película ni el costo de la entrada.;1;2014-02-16 22:51:48.000
Un cuento de invierno;2014;0;Drama-Romance-Fantasía;118';Manhattan, siglo XIX. Peter Lake (Colin Farrell) es un joven neoyorkino que se gana la vida de manera no muy honrada. Intentando robar en una gran mansión que cree vacía conoce a Beverly Penn (Jessica Brown Findlay), una bella joven que pronto despierta la pasión de Lake. Ambos se enamoran, pero Beverly está muy enferma y morirá. Cuando Peter descubre que posee el don de la reencarnación, emprende una misión a través del tiempo para salvarla.;MAGISTRAL!! excelente la recreación de época. argumento mágico, una historia emocionante, que muestra la fuerza del amor, la lucha entre el bien y el mal, la conexion de las almas a traves de la reencarnacion, y que deja un mensaje de fe y esperanza. altamente recomendable!!;5;2014-02-14 20:57:10.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";es una película mui padre;5;2014-05-28 20:40:20.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";"EXCELENTE! GENIAL! Esperaba ir a ver con mi hija ""otra película más de dibujitos"" pero no, con esta película rompieron el molde. Me mate de la risa en todo momento, los dialogos son muy buenos y el humor es genial, para todas las edades. Muy buen mensaje al final. Muy recomendable. Batman la rompe!!!";5;2014-03-24 14:04:19.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Muy, muy buena...para grandes y chicos. Tiene una tematica realmente actual, las obsesiones, ademas, refleja perfecto lo que son los juguetes Lego.;5;2014-03-17 09:53:32.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Excelente película, muy original y divertida. Lo único criticable es el efecto de profundidad de lente. Es la película más borrosa de la historia.;5;2014-03-03 20:20:13.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Muy buena película, muy graciosa y de humor bastante sofisticado. Si tienen más de 18 y todavía dudan en verla, vayan no se van aburrir para nada.;4;2014-02-27 14:53:19.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Muy linda película. La fui a ver con mi hija, Lucrecia, que tiene 8 años, una amiga suya de la misma edad y mi hija Juana, de 5 años y quedaron las tres fascinadas.  Opino que cualquier padre que esté dudando en llevar a su hijo lo haga sin pensarlo, sea cual sea su edad, porque a mí también me agradó mucho.  Tiene un mensaje simple, que es que hay que liberar la imaginación, crear sin importar qué, sólo crear, y ser mentalmente libre. Es una linda base para darle a los niños, para que aprendan a disfrutar de su libertad de opinión y gustos, y disfrutarse como son, que es lo más importante, y también no discriminar a los que parece que no tienen idea de dónde están parados, porque al final uno siempre encuentra el camino que quiere seguir.  Espero haber aportado algo.;4;2014-02-23 18:49:17.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Linda película, buen mensaje y muy buenos efectos también. Me gusto.;4;2014-02-21 16:31:07.000
